Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,diff_median_score,step
ccccc1)c1c,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
1ccccc1)c1,7,0.17596782302664657,6,5.128205128205128,0.0003716,0.0,0.0009483,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0009483,10
(=O)c1ccc(,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.00065995,"['C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'C=C(C(Cl)(N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(F)(F)F)S(=O)(=O)c1ccccc1', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'NC(=O)c1ccc(N)cc1']",-0.00065995,10
c(Cl)c(Cl),6,0.1508295625942685,2,1.7094017094017095,0.0003716,0.033313,0.0002747,"['Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1']",0.0330383,10
(Cl)c(Cl)c,6,0.1508295625942685,2,1.7094017094017095,0.0003716,0.033313,0.0002747,"['Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1']",0.0330383,10
[N+](=O)[O,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.00038585,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",-0.00038585,10
)c1ccccc1),6,0.1508295625942685,6,5.128205128205128,0.0003716,0.0,0.0011668,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0011668,10
cc1)c1cccc,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.0006742,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0006742,10
c1)c1ccccc,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.0006742,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1']",-0.0006742,10
](=O)[O-]),6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.00038585,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",-0.00038585,10
+](=O)[O-],6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.00038585,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",-0.00038585,10
N+](=O)[O-,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0,0.00038585,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",-0.00038585,10
C(=O)c1ccc,6,0.1508295625942685,5,4.273504273504273,0.0003716,0.0004001,0.00032315,"['CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12', 'NC(=O)c1ccc(N)cc1']",7.695e-05,10
c2ccccc2)c,13,0.31622476283142786,12,10.0,0.00126135,0.0,0.00168545,"['O=C(COC(=O)c1cccnc1Cl)c1ccc(-c2ccccc2)cc1', 'CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'O=c1c2ccccc2n(S(=O)(=O)Cc2ccccc2)c2ccccc12', 'COc1cc(C#Cc2ccccc2)cc(C=O)c1O', 'CC(=O)c1c(-c2ccccc2)cc2ccccc2c1C', 'CC(C)C1CCN1C(=O)c1cccc(-c2ccccc2)c1NC(=O)C1CCCN1C(=O)OC(C)(C)C', 'COC(=O)C1(C23CCCC2Nc2ccccc23)NC(c2ccccc2)c2ccccc21', 'CCn1c(=O)n(C(C[N+](=O)[O-])C2CC2C(=O)c2ccccc2)c2ccccc21', 'COC(=O)c1cc(C(=O)OC)cc(N(c2ccccc2)c2c(C)cc(C)cc2C=O)c1', 'Cc1ccc([S+]=C(C=C([O-])c2ccc(C)cc2)S(=O)(=O)c2ccccc2)cc1', 'O=S(=O)(c1ccccc1)c1oc(Cc2ccccc2)cc1Cc1ccccc1', 'O=C(Nc1c(-c2ccccc2)c2ccccc2c2ccccc12)c1occc1-c1ccc(Cl)cc1']",-0.00168545,20
c1ccccc1)c,9,0.21892483580637315,7,5.833333333333333,0.00126135,0.0,0.0020487,"['CC(=O)NC(=Cc1ccccc1)c1ccccc1', 'CC(=Pc1c(C(C)C)cc(C(C)C)cc1C(C)C)P=C(O[Si](c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1', 'CN(C)c1c([N+](=O)[O-])ccc(N)c1NC(=O)C(=O)NN(c1ccccc1)c1ccccc1', 'O=C(C[Se]c1ccccc1)c1ccc(Cl)cc1[N+](=O)[O-]', 'O=S(=O)(c1ccccc1)c1oc(Cc2ccccc2)cc1Cc1ccccc1', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'S=C(NN=C(c1ccccc1)c1ccccc1)Nc1cccc(Cl)c1']",-0.0020487,20
O)c1ccccc1,9,0.21892483580637315,9,7.5,0.00126135,0.0,0.0020487,"['O=CC(C(=O)N1C(=O)OCC1Cc1ccccc1)C(O)c1ccccc1', 'CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'CC1(C)C(=O)COC12CC(=O)c1ccccc12', 'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'COC1C(O)C2Oc3ccccc3C(=O)N2C1(O)c1ccccc1', 'O=C(NN=Cc1cc(Cl)ccc1O)c1ccccc1', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]', 'O=C(OC(=C(O)C(=O)c1ccccc1)c1ccccc1)c1ccccc1', 'CC(=O)N1OC2C(O)C(O)C(CO)C1C2(O)c1ccccc1']",-0.0020487,20
