Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C(=Cc1ccccc1)c1ccccc1,8,3,130,60,3,"[60, 80, 130]",0.04913955,0.0314831,0.04243955,"[0.046696, 0.04913955, 0.0314831]",0.0228809,-0.151828,-0.04997341666666666,"[0.0228809, -0.02097315, -0.151828]",13,4,9.0,27,"[4, 10, 13]","{'COc1cc(N=Cc2ccccc2)ccc1C', 'COc1ccc(N=Cc2ccccc2B(O)O)cc1', 'COc1ccc(C=O)c(OC)c1C=Pc1c(OC)cc(C(C)=O)cc1C(C)(C)C', 'C[Si](C)(C)C#Cc1ccc(C=Cc2ccc(C#CC[Si](C)(C)C)cc2)cc1', 'Nc1c(Br)cc(Br)c(N)c1N=Nc1cc(Br)ccc1Br', 'COc1ccc(C=Nc2ccc(Cl)cc2)cc1OC', 'Oc1ccc(N=Nc2ccc(Cl)cc2)cc1', 'Cc1ccc(N=Cc2ccc(O)c(F)c2)cc1'}",8,3.25
c1ccc(-c2c3ccccc3cc3cc4ccccc4cc23)cc1,2,2,280,280,1,[280],0.30621235,0.30621235,0.30621235,[0.30621235],-0.1594481999999999,-0.1594481999999999,-0.1594481999999999,[-0.1594481999999999],2,2,2.0,2,[2],"{'COc1ccc(-c2c3ccccc3cc3cc4ccccc4cc23)cc1', 'c1ccc(-c2c3ccccc3cc3cc4ccccc4cc23)cc1'}",2,1.0
c1ccc(-c2ccccc2)cc1,2,2,20,20,1,[20],0.02843975,0.02843975,0.02843975,[0.02843975],0.0271784,0.0271784,0.0271784,[0.0271784],8,8,8.0,8,[8],"{'COCC(=O)Oc1cc(-c2cccnc2)c(OC(C)=O)cc1C', 'O=Cc1cc(-c2ccc(Br)cn2)c(Br)cc1Br'}",2,1.0
c1ccc2c(-c3cc4ccccc4c4ccccc34)cccc2c1,2,2,110,110,1,[110],0.02910625,0.02910625,0.02910625,[0.02910625],-0.1266678,-0.1266678,-0.1266678,[-0.1266678],1,1,1.0,1,[1],"{'C[Si](C)(C)C#Cc1c(-c2c(C=CCl)ccc3ccccc23)c2ccccc2c2ccccc12', 'c1cnc2c(c1)cc(-c1cccc3ncccc13)c1ccccc12'}",2,1.0
c1ccc2ccccc2c1,5,3,20,10,2,"[10, 20]",0.03644265,0.0,0.018221325,"[0.0, 0.03644265]",0.0351813,-0.00038585,0.017397725,"[-0.00038585, 0.0351813]",9,9,8.5,17,"[9, 8]","{'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC', 'CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'OCCOc1cccc2ncccc12', 'Cc1nc2ccccc2c(N)c1C=O'}",5,1.0
c1ccccc1,31,7,360,10,11,"[10, 20, 30, 40, 60, 80, 90, 100, 110, 140, 360]",0.0211161,0.0,0.0032031,"[0.0, 0.0, 0.00616275, 0.0013852, 0.00042035, 0.00480265, 0.00029915, 0.0, 0.0007502, 0.0002977, 0.0211161]",0.00305495,-0.4857824,-0.09925764545454543,"[-0.00065995, -0.0034422, 0.00305495, -0.0137381, -0.02498275, -0.0657625499999999, -0.05502695, -0.1059955, -0.15502385, -0.1844748, -0.4857824]",106,96,99.0909090909091,1090,"[96, 98, 92, 101, 98, 105, 100, 99, 106, 94, 101]","{'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'COC(=O)C(C)NC(=O)C=Cc1ccccc1', 'CCOC(=O)C(Cl)(N(C(=O)C(C)(Cl)[Si](C)(C)C)c1ccccc1)[PH](=O)OC', 'CC(C)(C)OC(=N[N+](=O)[O-])NCc1ccc(Cl)cc1', 'C#CC[P-](#[O+])(CCl)Cc1ccccc1', 'CN(C)S(=O)(=O)c1ccc(F)cc1Cl', 'NC(=S)NN=Cc1ccccn1', 'Nc1c(Cl)c(Cl)c(N)c(Cl)c1Cl', 'O=C(O)C=CC=Cc1ccccc1', 'Cc1c(N)cccc1Br', 'N[SiH2]c1ccccc1', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]', 'Clc1cc(Cl)cc(Cl)c1', 'CO[P-](#[O+])(CNc1ccccc1C#N)CC(C)=O', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'NC(=O)c1ccc(N)cc1', 'O=[N+]([O-])C=Cc1ccccc1', 'CN(C(C#N)=C(F)F)c1ccccc1', 'COC(=S)Nc1ccccc1', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'CNC(=S)NN=C(C)c1ccccc1', 'Cc1ccc(N(C)C)nn1', '[NH3+]c1ccc(S(=O)(=O)[O-])cc1', 'Cc1cc([N+](=O)[O-])c(O)cc1[N+](=O)[O-]', 'O=C(O)Cc1cccc(F)c1C(=O)O', 'Nc1ncccc1[S+]=NS[O-]', 'Nc1ccncc1', 'COC(=O)c1ccccn1', 'Nc1c(F)ccc(F)c1Cl', 'Brc1cncnc1', 'CC(C)C(=O)Nc1ccc(C=O)cc1'}",31,1.1041666666666667
