Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccccc1,3,2.564102564102564,96,82.05128205128204,0.0003716,0.0,0.00065995,"['CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'NC(=O)c1ccc(N)cc1']",6,-0.00065995,10
c1ccc2ccccc2c1,3,2.564102564102564,9,7.6923076923076925,0.0003716,0.0,0.00038585,"['CC(C)P(Cc1cccc2cccnc12)C(C)(C)C', 'Cc1nc2ccccc2c(N)c1C=O', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12']",10,-0.00038585,10
,2,1.7094017094017095,0,0.0,0.0003716,0.0,0.0004001,"['CC(=O)NCC(N)=O', 'CC(C)(C)SO']",0,-0.0004001,10
c1ccc2cccc2c1,2,1.7094017094017095,0,0.0,0.0003716,0.00013735,0.0004001,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'OCc1nc2ccccc2[nH]1']",9,-0.00026275,10
c1ccccc1,7,5.833333333333333,98,81.66666666666667,0.00126135,0.0,0.0034422,"['CCOC(=O)C(Cl)(N(C(=O)C(C)(Cl)[Si](C)(C)C)c1ccccc1)[PH](=O)OC', 'CNC(=S)NN=C(C)c1ccccc1', 'Nc1ccncc1', 'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'Cc1c(N)cccc1Br', 'O=[N+]([O-])C=Cc1ccccc1', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]']",6,-0.0034422,20
c1ccc(-c2ccccc2)cc1,2,1.6666666666666667,8,6.666666666666667,0.00126135,0.02843975,0.00126135,"['O=Cc1cc(-c2ccc(Br)cn2)c(Br)cc1Br', 'COCC(=O)Oc1cc(-c2cccnc2)c(OC(C)=O)cc1C']",12,0.0271784,20
c1ccc2ccccc2c1,2,1.6666666666666667,8,6.666666666666667,0.00126135,0.03644265,0.00126135,"['OCCOc1cccc2ncccc12', 'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC']",10,0.0351813,20
c1ccccc1,2,1.7857142857142856,92,82.14285714285714,0.0031078,0.00616275,0.0031078,"['NC(=S)NN=Cc1ccccn1', 'N[SiH2]c1ccccc1']",6,0.00305495,30
c1ccccc1,3,2.727272727272727,101,91.81818181818183,0.01344685,0.0013852,0.0151233,"['COC(=S)Nc1ccccc1', 'Clc1cc(Cl)cc(Cl)c1', '[NH3+]c1ccc(S(=O)(=O)[O-])cc1']",6,-0.0137381,40
C(=Cc1ccccc1)c1ccccc1,3,2.727272727272727,4,3.6363636363636362,0.02407865,0.046696,0.0238151,"['COc1ccc(N=Cc2ccccc2B(O)O)cc1', 'COc1ccc(C=O)c(OC)c1C=Pc1c(OC)cc(C(C)=O)cc1C(C)(C)C', 'Nc1c(Br)cc(Br)c(N)c1N=Nc1cc(Br)ccc1Br']",14,0.022880900000000003,60
c1ccc(-c2cc(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1,2,1.8181818181818181,0,0.0,0.02407865,0.0686112,0.02407865,"['c1ccc(-c2nn(-c3ncccn3)c(-c3ccccc3)c2-c2ccccc2)cc1', 'c1ccc(-c2oc(-c3ccccc3)c(-c3ccccc3)c2-c2ccccc2)cc1']",29,0.04453255,60
c1ccccc1,2,1.8181818181818181,98,89.0909090909091,0.02407865,0.00042035,0.0254031,"['Brc1cncnc1', 'COC(=O)C(C)NC(=O)C=Cc1ccccc1']",6,-0.02498275,60
