Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
*C1=C(c2ccccc2)C2=C(*)c3cccn3[BH2-][BH2-][N+]2=C1,1,0.13020833333333331,0,0.0
Cc1ccc(S(=O)(=O)n2ccc3c4c(ccc32)C(=C2c3ccccc3-c3ccccc32)C=C4)cc1,1,0.13020833333333331,1,1.4084507042253522
Cc1ccc(C2=C3C(=C(c4ccccn4)c4cccn4[B-]3(F)F)[B-](F)(F)n3c(C)cc(C)c32)cc1,1,0.13020833333333331,1,1.4084507042253522
*C1=C(c2ccncc2)C(c2ccc[nH]2)=[N+]2[BH2-]n3cccc3C(c3ccncc3)=C12,1,0.13020833333333331,0,0.0
[BH2-]1C2=C(c3ccccc3)c3cccn3[BH2-]C2=Cc2cccn21,1,0.13020833333333331,0,0.0
*C1=C2[BH2-]n3cccc3C(c3ccccn3)=C2[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
[BH2-]1C2=C(c3ccccn3)c3cccn3[BH2-]C2=Cc2cccn21,1,0.13020833333333331,0,0.0
*C1=C(*)C(*)=[N+]2[BH2-]n3cccc3C(*)=C12,1,0.13020833333333331,0,0.0
[BH2-]1C2=C(c3ccccn3)c3cccn3[BH2-]C2=C(c2ccccc2)c2cccn21,1,0.13020833333333331,0,0.0
*C1=C2[BH2-]n3cccc3C(c3ccccc3)=C2[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
*n1ccc2c3c(ccc21)C(=C1c2ccccc2-c2ccccc21)C=C3,1,0.13020833333333331,1,1.4084507042253522
[BH2-]1[BH2-][N+]2=CC=CC2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1n2cccc2C(c2ccncc2)=C2C(c3ccccc3)=C(c3ccncc3)C=[N+]12,1,0.13020833333333331,0,0.0
O=S(=O)(c1ccccc1)n1ccc2c3c(ccc21)C(=C1c2ccccc2-c2ccccc21)C=C3,1,0.13020833333333331,1,1.4084507042253522
C1=Cc2c(ccc3[nH]ccc23)C1=C1c2ccccc2-c2ccccc21,1,0.13020833333333331,0,0.0
F[B-]1(F)C2=C(Cl)C(c3cccnc3)=C(c3ccc(Cl)cc3)C2=C(c2ccccn2)c2ccc(Cl)n21,1,0.13020833333333331,1,1.4084507042253522
*C1=C(*)C2=C(*)c3cccn3[BH2-]C1=C2,1,0.13020833333333331,0,0.0
*C1=C(c2ccccc2)C2=C(c3ccccn3)c3cccn3[BH2-][BH2-][N+]2=C1,1,0.13020833333333331,0,0.0
*C1=C(c2cccnc2)C=C2[BH2-]n3cccc3C(c3ccccn3)=C21,1,0.13020833333333331,0,0.0
O=C1c2ccccc2C(=C2C(=O)N(O)c3ccccc32)c2ccccc21,1,0.13020833333333331,1,1.4084507042253522
O=C1Nc2ccccc2C1=C1c2ccccc2C(=O)c2ccccc21,1,0.13020833333333331,1,1.4084507042253522
c1ccc2c(c1)CCN2,1,0.13020833333333331,3,4.225352112676056
c1ccc2c(c1)Cc1ccccc1C2,1,0.13020833333333331,1,1.4084507042253522
*C1=C(*)C2=C(c3ccccn3)c3cccn3[BH2-]C2=C1,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(c3cccnc3)=C(c3ccccc3)C2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(c3cccnc3)=CC2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=Cc3cccn31)C(c1ccc[nH]1)=C2c1ccncc1,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(c3cccnc3)=CC2=Cc2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC=CC2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(c3cccnc3)=C(c3ccccc3)C2=Cc2cccn21,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC=C(c3ccccc3)C2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
*C1=C(c2cccnc2)C=C2[BH2-]n3cccc3C(*)=C21,1,0.13020833333333331,0,0.0
*C1=C2C(=CC(c3cccnc3)=C2c2ccccc2)[BH2-]n2cccc21,1,0.13020833333333331,0,0.0
[B-]1C2=CC(=Cc3cccn31)C=C2,1,0.13020833333333331,1,1.4084507042253522
[BH2-]1C2=CC(=C(c3cccnc3)c3cccn31)C=C2,1,0.13020833333333331,0,0.0
[BH2-]1[BH2-][N+]2=CC(c3cccnc3)=CC2=C(c2ccccn2)c2cccn21,1,0.13020833333333331,0,0.0
*C1=C(*)C2=C(*)c3cccn3[BH2-]C2=C1,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=C(c3cccnc3)c3cccn31)C(c1ccc[nH]1)=C2c1ccncc1,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=Cc3cccn31)C(c1ccc[nH]1)=C2,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=Cc3cccn31)C=C2,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=C(c3cccnc3)c3cccn31)C(c1ccc[nH]1)=C2,1,0.13020833333333331,0,0.0
*C1=C(c2ccncc2)C2=CC1=C(c1cccnc1)c1cccn1[BH2-]2,1,0.13020833333333331,0,0.0
*C1=C(c2ccccc2)C2=C(c3ccccn3)c3cccn3[BH2-]C2=C1,1,0.13020833333333331,0,0.0
*C1=C2C=C([BH2-]n3cccc31)C(c1ccncc1)=C2c1ccc[nH]1,1,0.13020833333333331,0,0.0
CC1=C2C(c3ccncc3)=C(c3cccn3C)C1=C(c1cccnc1)c1c(C)c(Br)c(C)n1[B-]2(F)F,1,0.13020833333333331,1,1.4084507042253522
*C1=C(c2ccc[nH]2)C2=C(*)c3cccn3[BH2-]C1=C2,1,0.13020833333333331,0,0.0
*C1=C(c2ccncc2)C2=CC1=C(*)c1cccn1[BH2-]2,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=Cc3cccn31)C=C2c1ccncc1,1,0.13020833333333331,0,0.0
[BH2-]1C2=CC(=C(c3cccnc3)c3cccn31)C=C2c1ccncc1,1,0.13020833333333331,0,0.0
