Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
C1=Cc2ccccc2CC1,7,0.8158508158508158,1,0.8547008547008548,0.0003716,0.0,0.00038585,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21']",10,-0.00038585,10
c1ccc2c(c1)cc1cccc12,6,0.6993006993006993,0,0.0,0.0003716,0.1024745,0.0002747,"['N#Cc1c(-c2cc3oc4ccccc4c3o2)oc2ccccc12', 'Cc1noc2c1[nH]c1ccccc12']",12,0.1021998,10
c1ccc(C2CCCC2)cc1,6,0.6993006993006993,2,1.7094017094017095,0.0003716,7.65e-05,0.0004001,"['CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'N#CC1CCC(c2ccccc2)O1']",11,-0.0003236,10
C=C1CCc2ccccc21,6,0.6993006993006993,0,0.0,0.0003716,0.0,0.00038585,"['CNC(=O)C=CN1C(=O)c2ccccc2C1(C)O', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C']",10,-0.00038585,10
c1ccc(CCc2ccccc2)cc1,6,0.6993006993006993,6,5.128205128205128,0.0003716,0.00386745,0.0003716,"['CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1']",14,0.00349585,10
c1ccc(CC2CC2)cc1,5,0.5827505827505828,2,1.7094017094017095,0.0003716,0.00123115,0.0003716,"['O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1']",10,0.0008595500000000002,10
[c+]1cc[c-]c1-c1ccccc1,5,0.5827505827505828,0,0.0,0.0003716,0.0574277,0.00032315,['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1'],11,0.05710455,10
c1ccc(CCCc2ccccc2)cc1,5,0.5827505827505828,6,5.128205128205128,0.0003716,0.0,0.00038585,"['COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1']",15,-0.00038585,10
C(#Cc1ccccc1)c1ccccc1,4,0.4662004662004662,1,0.8547008547008548,0.0003716,0.0,0.00038585,['CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O'],14,-0.00038585,10
c1ccc(C2CCc3ccccc3C2)cc1,4,0.4662004662004662,1,0.8547008547008548,0.0003716,0.0050805,0.0002747,"['Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1']",16,0.0048058,10
c1ccc(CCC2CCCCC2)cc1,4,0.4662004662004662,1,0.8547008547008548,0.0003716,0.0,0.00038585,['CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C'],14,-0.00038585,10
C=C1CCCC1c1ccccc1,4,0.4662004662004662,0,0.0,0.0003716,0.00123115,0.0003716,"['O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",12,0.0008595500000000002,10
C1=C2CCC(C1)C1CCCC1C2,4,0.4662004662004662,0,0.0,0.0003716,0.0,0.00038585,['CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2'],12,-0.00038585,10
c1ccc(-c2ccccc2)cc1,4,0.4662004662004662,6,5.128205128205128,0.0003716,0.0293795,0.0002747,"['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1', 'O=C(O)c1ccc(-c2ccccc2)cc1']",12,0.0291048,10
c1ccc(Cc2ccccc2)cc1,4,0.4662004662004662,9,7.6923076923076925,0.0003716,0.0032356,0.00032315,"['CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1']",13,0.00291245,10
C=C1C=C(c2ccccc2)C(c2ccc(C3=C(c4ccccc4)CCC3)c2)C1,4,0.4662004662004662,0,0.0,0.0003716,0.0,0.00038585,['CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O'],28,-0.00038585,10
C(#Cc1cccc(C#Cc2ccc(C3=C(c4ccccc4)CCC3)c2)c1)c1ccccc1,4,0.4662004662004662,0,0.0,0.0003716,0.0,0.00038585,['CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O'],32,-0.00038585,10
c1ccccc1,52,7.4498567335243555,98,81.66666666666667,0.00126135,4.62e-05,0.0023515000000000003,"['CN(C)c1ccc(N=C2C(Nc3ccc(Cl)cc3)=Nc3ccccc32)cc1', 'O=C(COC(=O)c1cccnc1Cl)c1ccc(-c2ccccc2)cc1', 'c1cncc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)c1', 'CCOC(=O)C(Cl)(N(C(=O)C(C)(Cl)[Si](C)(C)C)c1ccccc1)[PH](=O)OC', 'O=CC(C(=O)N1C(=O)OCC1Cc1ccccc1)C(O)c1ccccc1', 'CCOc1cc(OC(=O)c2ccccc2)c(C#Cc2ccccc2)cc1C#CC#Cc1ccccc1COC(=O)c1ccccc1', 'Fc1ccc(CNc2ccc(Oc3ccccc3)cc2)cc1', 'CNC(=S)NN=C(C)c1ccccc1', 'Nc1ccncc1', 'CC(C)C1CCN1C(=O)c1cccc(-c2ccccc2)c1NC(=O)C1CCCN1C(=O)OC(C)(C)C', 'COC(=O)CNC(=O)C(C)(C)NC(=O)CCNC(=O)c1ccccc1', 'C=C(C)CC1c2c(C)cc(C)cc2C(OC)N1S(=O)(=O)c1ccc(C)cc1', 'O=S1(=O)c2ccccc2C(F)(F)N1C1=NN=C(C(F)(F)F)C2(c3ccccc3)SCSC12', 'C#Cc1ccc(-c2c(N(C)C)c(C#N)nc3ccccc23)cc1', 'c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cn3)cc2)cc1', 'Cc1c(N)cccc1Br', 'COc1ccc(C2(c3ccc(OC)cc3)CC=C(C(F)(F)F)CC2(C)O)cc1', 'CCc1c(C(=O)c2ccccc2O)c(C)n(C2CC2)c1C1CC1', 'Cc1ccc(S(=O)(=O)N2C(C(=O)Oc3ccccc3)CC3C(=O)CCCC32)cc1', 'Clc1ccc(C=Cc2nnn(-c3ccccc3)n2)cc1', 'COc1ccc(C2COC3=C(C(=O)CC(C)(C)C3)C2c2ccc(OC)cc2)cc1', 'COc1ccc(NC(=Nc2ccccc2-c2nc3ccccc3c3ccccc23)c2nnc(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc1', 'COc1ccccc1C=NC1=C(Cl)C(=O)C(=CNc2c(Cl)cccc2Cl)c2nc(C)nc(-c3ccc(C)cc3)c21', 'O=[N+]([O-])C=Cc1ccccc1', 'O=C1CC(c2ccc3ccccc3c2NCCO)Nc2ccccc21', '[O-][SH]1[SH]=[S+]c2cccc(Nc3ccc(F)cc3)c21', 'CC(=[S+]CCC(C)=C(C#N)C#N)C(C(=O)c1ccccc1)=[N+]([O-])[O-]', 'CN1C(=O)C2CC=CC1N2c1ccc(C(=O)O)cc1', 'O=S(=O)(c1ccccc1)c1oc(Cc2ccccc2)cc1Cc1ccccc1', 'O=C1CCC2(O1)c1ccc(Br)cc1C(=O)N2c1c(F)c(F)nc(F)c1F', 'O=C(C=Cc1cccc(Br)c1)c1cnc2ccccc2c1', 'COc1ccccc1C1=[S+]C(=C2Sc3ccc(C(C)(C)C)cc3S2)C2=C(OCCS2)C1=O', 'Cc1onc(-c2ccc(F)cc2)c1C1CCC(=O)C1=Cc1ccncc1', 'COC(=O)C12CC3c4ccccc4N(S(=O)(=O)c4ccccn4)C1(C(=O)OC)C3C(CC(C)=O)O2']",6,-0.0023053,20
c1ccc2ccccc2c1,31,4.441260744985674,8,6.666666666666667,0.00126135,0.0,0.0020487,"['OCCOc1cccc2ncccc12', 'CC(=O)c1c(-c2ccccc2)cc2ccccc2c1C', 'C#Cc1ccc(-c2c(N(C)C)c(C#N)nc3ccccc23)cc1', 'COC(=O)c1ccc2cc(C)cc(C(=O)OC)c2c1C(=O)OC', 'O=C1CC(c2ccc3ccccc3c2NCCO)Nc2ccccc21', 'c1ccc2cc(CC34CCC(CC3)c3cc5ccccc5c5cccc4c35)ccc2c1', 'O=C(C=Cc1cccc(Br)c1)c1cnc2ccccc2c1', 'c1ccc(-c2ccc3ccccc3c2-c2ccc3ccccc3c2)cc1', 'CC1=[S+]C(=C2C(=C(C)[O-])C(=C(C=Cc3cccc4ccccc34)c3ccccc3)S[S-]2C)[S+]=C1[O-]']",10,-0.0020487,20
c1ccc(-c2ccccc2)cc1,23,3.29512893982808,8,6.666666666666667,0.00126135,0.0149587,0.0012005,"['O=C(COC(=O)c1cccnc1Cl)c1ccc(-c2ccccc2)cc1', 'c1cncc(-c2cc(-c3ccncc3)cc(-c3ccncc3)c2)c1', 'CC(C)C1CCN1C(=O)c1cccc(-c2ccccc2)c1NC(=O)C1CCCN1C(=O)OC(C)(C)C', 'c1ccc(-c2ccc(-c3ccc(-c4cccc(-c5ccccc5)c4)cn3)cc2)cc1', 'COc1ccc(NC(=Nc2ccccc2-c2nc3ccccc3c3ccccc23)c2nnc(-c3ccccc3)cc2-c2ccc(Cl)cc2)cc1', 'O=Cc1cc(-c2ccc(Br)cn2)c(Br)cc1Br', 'COCC(=O)Oc1cc(-c2cccnc2)c(OC(C)=O)cc1C']",12,0.0137582,20
