Substructure,Count,Count max,step max,step min,step count,step_list,median_score_fragment_max,median_score_fragment_min,Mean score cluster,median_score_fragment_list,diff_median_score_max,diff_median_score_min,Mean diff score,diff_median_score_list,count_per_molecule_max,count_per_molecule_first,count_per_molecule_mean,Total Number of Molecules with Substructure,Number of Molecules with Substructure List,Molecules containing fragment,Number of Molecules_with_Fragment,count_perc_ratio
C(=Cc1ccccc1-c1ccccc1)c1ccccc1,4,4,230,230,1,[230],0.1535854,0.1535854,0.1535854,[0.1535854],-0.2413659999999999,-0.2413659999999999,-0.2413659999999999,[-0.2413659999999999],2,2,2.0,2,[2],{'COc1c(O)cccc1-c1ccccc1C=Nc1ccc(-c2cccc3ccccc23)cc1-c1ccccc1'},1,1.0
C(c1ccccc1)=c1cccc(-c2ccccc2)c1,4,4,200,200,1,[200],0.4147572,0.4147572,0.4147572,[0.4147572],0.1146539999999999,0.1146539999999999,0.1146539999999999,[0.1146539999999999],1,1,1.0,1,[1],{'F[B-]1(F)N(c2ccccc2)N=C(n2c(-c3ccccc3)nc(-c3ccccc3)nc2=Nc2ccccc2)c2cccn21'},1,1.0
C1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)C1,5,5,250,250,1,[250],0.4652013,0.4652013,0.4652013,[0.4652013],0.0713179999999999,0.0713179999999999,0.0713179999999999,[0.0713179999999999],3,3,3.0,3,[3],{'C[Si]1(C)C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccn1'},1,1.0
C1=C(c2ccccc2)C=C(c2ccccc2)C1,8,4,260,250,2,"[250, 260]",0.4652013,0.3774784,0.42133984999999996,"[0.4652013, 0.3774784]",0.0713179999999999,-0.0262593999999999,0.022529299999999995,"[0.0713179999999999, -0.0262593999999999]",4,3,3.5,7,"[3, 4]","{'c1ccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2(c2ccccc2)c2c3ccccc3cc3ccccc23)cc1', 'Cl[PH]1=C(c2ccccc2)C(c2ccccc2)=C(c2ccccc2)[Si]1(Cl)Cl', 'C[Si]1(C)C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccn1'}",3,1.3333333333333333
C1=C(c2ccccc2)C=C(c2ccccc2)C1=C(c1ccccc1)c1ccccc1,4,4,220,220,1,[220],0.40487605,0.40487605,0.40487605,[0.40487605],0.0592465499999999,0.0592465499999999,0.0592465499999999,[0.0592465499999999],1,1,1.0,1,[1],"{'Brc1cccc(C2=NC(c3ccccc3)=C(c3ccccc3)C2=C(c2ccccc2)c2ccccc2)c1', 'O=S(=O)(C1=C(c2ccccc2)C(=C(c2ccccc2)c2ccccc2)N=C1c1ccccc1)c1ccccc1'}",2,1.0
C1=C(c2ccccc2)CC(c2ccccc2)=C1c1ccccc1,4,4,250,250,1,[250],0.4652013,0.4652013,0.4652013,[0.4652013],0.0713179999999999,0.0713179999999999,0.0713179999999999,[0.0713179999999999],3,3,3.0,3,[3],{'C[Si]1(C)C(c2ccc(N(c3ccccc3)c3ccccc3)cc2)=C(c2ccccc2)C(c2ccccc2)=C1c1ccccn1'},1,1.0
C1=C(c2ccccc2)Cc2ccccc2C1,4,4,340,340,1,[340],0.0695736,0.0695736,0.0695736,[0.0695736],-0.43888755,-0.43888755,-0.43888755,[-0.43888755],1,1,1.0,1,[1],{'Cc1ccc(C2C(c3ccccc3)=C(c3ccc(Cl)cc3)N(S(=O)(=O)c3ccc(C)cc3)c3ccccc32)cc1'},1,1.0
C1=C(c2ccccc2)c2ccccc2C1=C(c1ccccc1)c1ccccc1,4,4,290,290,1,[290],0.46359415,0.46359415,0.46359415,[0.46359415],-0.0084290499999999,-0.0084290499999999,-0.0084290499999999,[-0.0084290499999999],2,2,2.0,2,[2],"{'Brc1ccc(C2=CC(=C(c3ccccc3)c3ccccc3)c3ccccc32)cc1', 'Clc1ccc(C(=C2C(c3ccc(Cl)c(Cl)c3)=C(c3ccc(Cl)cc3)c3ccc(Cl)cc32)c2ccccc2)cc1'}",2,1.0
C1=C(c2ccccc2)c2ccccc2C1=C1c2ccccc2-c2ccccc21,4,4,300,300,1,[300],0.4810106,0.4810106,0.4810106,[0.4810106],-0.0207453999999999,-0.0207453999999999,-0.0207453999999999,[-0.0207453999999999],2,2,2.0,2,[2],"{'O=[N+]([O-])c1ccc(C2=C(c3ccccc3)C(=C3c4ccccc4-c4ccccc43)c3ccccc32)cc1', 'Brc1ccc(C2=CC(=C3c4ccccc4-c4ccccc43)c3ccccc32)cc1'}",2,1.0
C1=C2C(=Cc3ccccc32)c2ccccc2C1,4,4,210,210,1,[210],0.44155745,0.44155745,0.44155745,[0.44155745],0.1696968,0.1696968,0.1696968,[0.1696968],2,2,2.0,2,[2],"{'Cc1ccc(C2=C3C(=C(c4ccc(S(C)(=O)=O)cc4)c4ccccc43)c3ccccc3C2=O)cc1', 'c1ccc(C2=C3C(=C(c4ccccc4)c4ccccc43)c3ccccc3C2)cc1'}",2,1.0
