Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
n,48,21.524663677130047,51,71.83098591549296
Cl,30,13.452914798206278,23,32.3943661971831
F,15,6.726457399103139,51,71.83098591549296
O,14,6.278026905829597,27,38.028169014084504
Br,12,5.381165919282512,15,21.12676056338028
s,9,4.0358744394618835,8,11.267605633802818
o,8,3.587443946188341,6,8.450704225352112
C=C1C=CC=[N+]1[B-](F)(F)n,7,3.1390134529147984,8,11.267605633802818
C=C,4,1.7937219730941705,64,90.14084507042254
n[B-](F)F,4,1.7937219730941705,44,61.97183098591549
C=C(C(=C)[B-](F)(F)n)[B-](F)(F)n,3,1.345291479820628,4,5.633802816901409
N,3,1.345291479820628,44,61.97183098591549
C=C1C=CC=C1[B-](F)(F)n,2,0.8968609865470852,4,5.633802816901409
O=[N+][O-],2,0.8968609865470852,2,2.8169014084507045
C=C[N+](=C)[B-](F)(F)n,2,0.8968609865470852,16,22.535211267605636
C=CC(=C)[B-](F)(F)n,2,0.8968609865470852,14,19.718309859154928
[nH],2,0.8968609865470852,2,2.8169014084507045
NC=O,2,0.8968609865470852,6,8.450704225352112
n[B-](F)(F)n,2,0.8968609865470852,3,4.225352112676056
C=C([N+](=C)[B-](F)(F)n)[B-](F)(F)n,2,0.8968609865470852,2,2.8169014084507045
C=C1C=CC(Cl)=[N+]1[B-](F)(F)[B-](F)(F)n,1,0.4484304932735426,2,2.8169014084507045
C=[N+]C(=C)[B-](F)(F)n,1,0.4484304932735426,3,4.225352112676056
C=COC=O,1,0.4484304932735426,2,2.8169014084507045
C=C1C=CC(Br)=[N+]1,1,0.4484304932735426,1,1.4084507042253522
C=CC=C,1,0.4484304932735426,37,52.112676056338024
nS(=O)=O,1,0.4484304932735426,1,1.4084507042253522
C=C1C=CC(Cl)=C1[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=C1C=CC(=C1)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=O,1,0.4484304932735426,14,19.718309859154928
C=CC(=O)NO,1,0.4484304932735426,1,1.4084507042253522
C=C1C=[N+]1[B-](F)(F)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=C1C=CC=CN1[B-](F)(F)[n+],1,0.4484304932735426,1,1.4084507042253522
C=C1C=NN([O-])C=[S+]1,1,0.4484304932735426,1,1.4084507042253522
C=C(C=N)C=O,1,0.4484304932735426,2,2.8169014084507045
C=C[Si],1,0.4484304932735426,1,1.4084507042253522
C=CNC=O,1,0.4484304932735426,2,2.8169014084507045
C=C1C(=[O+])C=CC(Br)=C1[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=C1C=C(Cl)C=[N+]1[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=C1C(Br)=C(Br)C(Br)=C1[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=CC(=C)NC=O,1,0.4484304932735426,1,1.4084507042253522
N=C1C=CC=[N+]1[O-],1,0.4484304932735426,1,1.4084507042253522
C=C(C(=CCl)[B-](F)(F)n)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=C[N+](=CBr)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
n[O-],1,0.4484304932735426,1,1.4084507042253522
n[B-](F)(F)[N+]1=CC(=C1)C=O,1,0.4484304932735426,1,1.4084507042253522
n[B-](F)(F)[B-](F)(F)[N+]1=C(Cl)C(Cl)=CC1=CCl,1,0.4484304932735426,1,1.4084507042253522
[O-][N+]=CBr,1,0.4484304932735426,1,1.4084507042253522
n[B-](F)(F)[n+],1,0.4484304932735426,1,1.4084507042253522
NC=C(Cl)C(=O)C=NC=O,1,0.4484304932735426,1,1.4084507042253522
F[B-]1(Cl)C=CC(=C1)[N+]1=CC=C1,1,0.4484304932735426,1,1.4084507042253522
C=CC=C(C=C)OC=O,1,0.4484304932735426,1,1.4084507042253522
C=C1C=C[N+]([O-])=C1[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=CBr,1,0.4484304932735426,3,4.225352112676056
C=C[N+](=C)[B-](F)(F)[B-](F)(F)n,1,0.4484304932735426,4,5.633802816901409
[N-]C(N)=C1C=CS[N+]1=O,1,0.4484304932735426,1,1.4084507042253522
NC=C(N)C=O,1,0.4484304932735426,1,1.4084507042253522
C=C[B-](F)F,1,0.4484304932735426,19,26.76056338028169
O=[N+]1C=[N+]C(=C[O-])C=N1,1,0.4484304932735426,1,1.4084507042253522
C=CC=CCl,1,0.4484304932735426,6,8.450704225352112
C=CC=N,1,0.4484304932735426,22,30.985915492957744
C=C(N)N[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=N,1,0.4484304932735426,34,47.88732394366197
C=C1C=CC(Cl)=CC1=O,1,0.4484304932735426,1,1.4084507042253522
C=C(C=O)C(=C)[B-](F)(F)n,1,0.4484304932735426,2,2.8169014084507045
n[B-](F)(F)C=CC=C[N+](=C[N+]=CBr)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=CC(=[N+]([O-])[O-])C=Cn,1,0.4484304932735426,1,1.4084507042253522
n[n+],1,0.4484304932735426,1,1.4084507042253522
C=C1C(=C(Cl)N[B-](F)(F)[N+]1=C1C=CC(Cl)=C1)[B-](F)(F)n,1,0.4484304932735426,1,1.4084507042253522
C=CC(C(=C)[N+](=C)[B-](F)(F)n)=C,1,0.4484304932735426,1,1.4084507042253522
C=C1C=CC=[S+]1,1,0.4484304932735426,1,1.4084507042253522
