Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
C#N,9,2.4861878453038675,10,8.547008547008547,0.0003716,7.65e-05,0.0004001,"['N#Cc1c(-c2cc3oc4ccccc4c3o2)oc2ccccc12', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'COC(=O)C1C(C#N)c2cc3ccccc3cc2C1OC(=O)C(C)(C)C', 'N#Cc1cnc2ccc3c(-c4ccccc4)c4ccccc4nc3c2c1-c1ccccc1', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'N#CC1CCC(c2ccccc2)O1', 'N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1']",2,-0.0003236,10
o,9,2.4861878453038675,8,6.837606837606838,0.0003716,0.041426649999999995,0.0001698,"['N#Cc1c(-c2cc3oc4ccccc4c3o2)oc2ccccc12', 'COc1ccc2c(=O)c(C3(C)C(Br)C(C(=O)O)C3c3ccco3)coc2c1', 'Cc1ccc2cc(C(N)=O)c(=O)oc2c1Br', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC', 'CC1=C(Cl)C(=O)c2c(occc2=O)C1=O']",1,0.04125685,10
NS(=O)=O,6,1.6574585635359116,12,10.256410256410255,0.0003716,0.0018778,0.0002747,"['C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'C=C(C(Cl)(N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(F)(F)F)S(=O)(=O)c1ccccc1', 'Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1', 'Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1', 'Cc1ccc(NS(=O)(=O)c2ccccc2O)cc1']",4,0.0016031,10
O=[N+][O-],6,1.6574585635359116,5,4.273504273504273,0.0003716,0.0,0.00038585,"['CC(C)n1ccc2cc([N+](=O)[O-])ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C']",3,-0.00038585,10
s,6,1.6574585635359116,6,5.128205128205128,0.0003716,0.003053,0.00032315,"['CC(C)(C)C1=[Se][P-]([Se-])(C(C)(C)C)=[Se+]c2cscc21', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'c1ccc2c(c1)Cc1cccc3scc(c13)C2', 'c1ccc2c(c1)sc1c3ccccc3sc21', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1']",1,0.0027298500000000002,10
nn,5,1.3812154696132597,12,10.256410256410255,0.0003716,0.0,0.00038585,"['c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1', 'Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1', 'CC(=O)c1nn2c3c1C1(CC3(C)C(=O)N(C)C1=O)c1ccccc1-c1ccccc1-2', 'CCc1c(C)nn(CCCN)c1C']",2,-0.00038585,10
S,4,1.1049723756906076,20,17.094017094017094,0.0003716,0.0058103,0.00032315,"['c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'Cc1n[nH]c(=S)n1Cc1cccc(C23N=[O+]C2[N-]3)n1', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1']",1,0.00548715,10
C=CC=O,4,1.1049723756906076,11,9.401709401709402,0.0003716,0.0054394,0.0003716,"['C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'CC1=CC(=O)C2C3CC(O3)C2(C)CC(C)C=CCC1', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1', 'C=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C']",4,0.0050678,10
[nH],3,0.8287292817679558,5,4.273504273504273,0.0003716,0.0012603,0.0002707,"['O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1', 'Cc1noc2c1[nH]c1ccccc12', 'OCc1nc2ccccc2[nH]1']",1,0.0009896,10
C=CN,3,0.8287292817679558,8,6.837606837606838,0.0003716,0.0,0.00038585,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1', 'Clc1cccc(C(=CNc2ccccc2)c2ccccc2)c1Cl']",3,-0.00038585,10
