Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment
c1ccccc1,70,32.25806451612903,59,83.09859154929578
c1ccncc1,35,16.129032258064516,29,40.845070422535215
c1ccsc1,9,4.147465437788019,8,11.267605633802818
[B-]1n2cccc2C=C2C=CC=[N+]12,8,3.686635944700461,8,11.267605633802818
c1ccc2cc3ccccc3cc2c1,7,3.225806451612903,9,12.676056338028168
c1ccoc1,5,2.3041474654377883,5,7.042253521126761
[B-]1C2=Cc3cccn3[B-]C2=Cc2cccn21,4,1.8433179723502304,4,5.633802816901409
[B-]1C2=CC=CC2=Cc2cccn21,4,1.8433179723502304,4,5.633802816901409
c1ccc2c(c1)Cc1ccccc1-2,4,1.8433179723502304,5,7.042253521126761
C1=Cc2ccccc2C1,3,1.3824884792626728,6,8.450704225352112
c1ccc2occc2c1,2,0.9216589861751152,2,2.8169014084507045
[B-]1n2cccc2Cc2cccn21,2,0.9216589861751152,2,2.8169014084507045
[B-]1c2ccccc2Cc2cccn21,2,0.9216589861751152,2,2.8169014084507045
[B-]1[B-][N+]2=CC=CC2=Cc2cccn21,2,0.9216589861751152,2,2.8169014084507045
[B-]1C2=Cc3cccn3[B-][N+]2=Cc2cccn21,2,0.9216589861751152,2,2.8169014084507045
[B-]1C2=Cc3ccccc3C2=Cc2cccn21,2,0.9216589861751152,2,2.8169014084507045
C1=CC[N+]=C1,2,0.9216589861751152,12,16.901408450704224
C1=[N+]Cc2ccccc21,2,0.9216589861751152,5,7.042253521126761
c1ccc2ccccc2c1,2,0.9216589861751152,14,19.718309859154928
c1cc[nH]c1,2,0.9216589861751152,2,2.8169014084507045
C1=N[N+]C=[N+]C1,1,0.4608294930875576,1,1.4084507042253522
c1cc2cc3ccncc3cn2c1,1,0.4608294930875576,1,1.4084507042253522
c1ccc2nc3c(nc2c1)CNC3,1,0.4608294930875576,1,1.4084507042253522
[B-]1[B-][N+]2=CC2=Cc2cccn21,1,0.4608294930875576,1,1.4084507042253522
[B-]1C2=CC=CCC2=Cc2cccn21,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c(c1)CCCC2,1,0.4608294930875576,1,1.4084507042253522
c1ccc2cc3c(cc2c1)Cc1c-3ccc2ccccc12,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c3c4c(cccc4cc2c1)C[Si]3,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c3c(ccc2c1)NCC3,1,0.4608294930875576,1,1.4084507042253522
c1ccc2cnccc2c1,1,0.4608294930875576,1,1.4084507042253522
C1=Cc2ccccc2N2CCC=C12,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c(c1)Cc1ccccc1C2,1,0.4608294930875576,1,1.4084507042253522
[B-]1n2cccc2C=C2Cc3ccccc3C=[N+]12,1,0.4608294930875576,1,1.4084507042253522
[B-]1C[N+]=Cc2cccn21,1,0.4608294930875576,3,4.225352112676056
c1ccc2c(c1)COC2,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c(c1)CCC2,1,0.4608294930875576,1,1.4084507042253522
c1ccc2c(c1)ccc1ccccc12,1,0.4608294930875576,2,2.8169014084507045
