Substructure,Count,Count ratio,Number_of_molecules_with_fragment,Ratio_of_Molecules_with_Fragment,median_score,median_score_fragment,median_score_not_fragment,molecules_with_fragment,num_atoms,diff_median_score,step
c1ccccc1,142,54.826254826254825,96,82.05128205128204,0.0003716,0.0004001,0.00032315,"['CC(=C(c1ccccc1)N(C)c1ccccc1)c1ccccc1', 'CCOC(=O)C1c2cc(Br)ccc2O[P-](=O)(=[O+]CC)C1CCc1ccccc1', 'COc1ccc(OC2C(=O)c3ccccc3C=C2c2ccccc2)cc1CN(Cc1ccccc1)Cc1ccccc1', 'C=C(C(C)=O)C(c1ccccc1)N(c1ccc(C(=O)OC)cc1)S(=O)(=O)c1ccc(C)cc1', 'O=C1NC2CCC2(Cc2ccccc2)C1c1ccccc1', 'O=C1C2CN3CCN1c1ccccc1C(C(F)(F)F)OC2(Nc1ccc(Br)cc1)CC3', 'O=S(=O)(O[C-]=C(c1ccccc1)C(F)(Br)c1ccccc1)C(F)(F)F', 'CCn1c(-c2ccc(C(=O)c3ccc(OC)cc3)cc2)nc2ccc(-c3ccc(Br)cc3Br)cc21', 'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1', 'CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'Fc1ccc([P-](#[S+])(c2ccccc2)C2CCCC2)cc1', 'O=COc1ccc(F)cc1C=Nc1ccc(F)cc1', 'CCOc1ccc(C=NNC(=O)c2ccccc2O)c(O)c1', 'N#Cc1cnc2ccc3c(-c4ccccc4)c4ccccc4nc3c2c1-c1ccccc1', 'Cc1ccccc1-n1ncc(C)c1C1OS(=O)(=O)NC1c1ccccc1', 'CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'CN1CCN(N=Nc2ccccc2Br)CC1=O', 'CC(=O)Nc1ccccc1C(=O)C(C)(C)F', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'Cc1cc(C)c(B(c2cccc(P(c3ccccc3)c3ccccc3)c2)c2c(C)cc(C)cc2C)c(C)c1', 'CC(C)c1cccc(C(C)C)c1N=P(=Nc1c(C(C)C)cccc1C(C)C)c1ccccc1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'c1ccc(-c2cc(-c3ccccc3)c3c(c2-c2ccccc2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2-3)cc1', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'Cc1c(C2OC(=O)c3ccccc32)cccc1C(c1ccccc1)c1ccccc1', 'COCC(=C(Cl)c1ccccc1)c1ccco1', 'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'CC(C)OC(=O)C(C#N)=C(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1', 'CC(NC(=O)c1ccc(Br)cc1)C(C)(O)C(=O)c1ccc(Br)cc1', 'OC1C2C=CN(CC2)C1Cc1ccc(Cl)cc1', 'Cc1cc(C)c([N+]2=CC3([N+](=O)[O-])C=NC3(c3ccc([N+](=O)[O-])cc3)[N-]2)c(C)c1', 'Cc1cccc(C)c1-n1nnnc1-c1ccccc1', 'CC[Se]C1=C(c2cc(C(=O)OC)cc(C(C)(C)C)c2O)C(C#N)(c2cc(C3=C(c4cc(CCC(=O)OC)cc(OC)c4)CCC3)sc2C#Cc2ccc(OC)c(C#Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2)CC1=O', 'CCc1ccccc1N1CC(c2ccccc2)=Nc2cccnc21', 'CC1(C)C2CCC1C1(OCc3ccccc3)C(=O)c3ccccc3C21', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Clc1ccc(COc2cccc(COc3ccccc3-c3cnn[nH]3)c2)cc1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'CC(C)(C)C(OC(=O)c1ccccc1)C(C)(Cc1ccccc1)c1ccccc1', 'C=C(C(Cl)(N(Cc1ccccc1)S(=O)(=O)c1ccc(C)cc1)C(F)(F)F)S(=O)(=O)c1ccccc1', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'CCOC(=O)C1C(c2ccc([N+](=O)[O-])cc2)C(=NC(N)=O)N(O)C1C', 'Cc1ccc(C2CC23CC(=O)N2c4c(-c5ccccc5)nnn4C(=O)c4ccccc4N23)cc1', 'Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1', 'N#CC1CCC(c2ccccc2)O1', 'CCCN1c2ccccc2[S+]=C([O-])N(Cc2ccc(C(F)(F)F)cc2)S1(=O)=O', 'Cc1ccc(S(=O)(=O)N2c3ccccc3CC(C)C2c2ccccc2C)cc1', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'Clc1cccc(C(=CNc2ccccc2)c2ccccc2)c1Cl', 'N#Cc1ccc(-c2nnn3cc(C#N)ccc23)cc1', 'CC1=NB(C(C#N)=Cc2ccccc2)N(c2cccnc2)[B-](c2ccccc2)(c2ccccc2)O1', 'CCOC(=O)c1c(OC)cc(OC)cc1OC', 'COc1ccc(-c2oc(=O)c(-c3ccccc3)cc2-c2cccc(OC)c2OC)cc1OC', 'CC1(C)CC(=O)C(=NNc2ccccc2)C(=O)C1', 'C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21', 'CCN(CC)c1ccc(C=NN=Cc2ccc(N(C)C)cc2)c(O)c1', 'CC(c1ccccc1)N1C(=O)C2CC1C1C3CC(C23)C1N(Cc1ccccc1)Cc1ccccc1', 'CC(=O)C12OC(c3ccccc3)=CC1OC1=C(C(=O)CC(C)(C)C1)C2c1ccccc1', 'COC(=O)c1cccc2nc(-c3ccccc3)n3occ3c12', 'Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O', 'CC1(C)CC(=Cc2ccccc2)C(=O)C(=Cc2ccc(Br)cc2)C1', 'Cc1ccc(NS(=O)(=O)c2ccccc2O)cc1', 'CC(C)(C)OC(=O)N1C(C(c2ccccc2)C2(C)C(=O)N(Cc3ccccc3)c3cc(Cl)ccc32)=C2CCC1C1OC(C)(C)OC1C2', 'O=C1C2CC(=O)C3(OCC13)c1c(-c3ccccc3)nc3ccccc3c12', 'NC(=O)c1ccc(N)cc1', 'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1', 'O=C(O)c1ccc(-c2ccccc2)cc1']",6,7.695e-05,10
c1ccncc1,11,4.247104247104247,13,11.11111111111111,0.0003716,0.0020243,0.00032315,"['Cc1c[s+]c(-c2cncc(-c3ccc(C)c(-c4n[n-]c(-c5ccccn5)[s+]4)n3)c2)[n-]1', 'c1ccc(SCCCSc2nnnc(-n3cccn3)n2)nc1', 'Cc1nn(-c2ccccc2[N+](=O)[O-])nc1-c1ccc(C(=O)O)nc1', 'FC1C2c3ccccc3C3OC4CCCC4c4cccc(c4OCc4ccccn4)Cc4cccc(c4OCc4ccccn4)C3C12', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'Cc1n[nH]c(=S)n1Cc1cccc(C23N=[O+]C2[N-]3)n1', 'CC1=NB(C(C#N)=Cc2ccccc2)N(c2cccnc2)[B-](c2ccccc2)(c2ccccc2)O1']",6,0.0017011500000000002,10
c1ccc2ccccc2c1,6,2.3166023166023164,9,7.6923076923076925,0.0003716,0.0,0.0004001,"['COC(=O)N1OC2(c3cccc4ccccc34)CCC(C1=O)C13CC(CC21)C3', 'Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'CC(=O)Nc1ccc2ccccc2c1Cc1ccc(O)c(CN(Cc2ccccn2)Cc2ccccn2)c1O', 'O=C(Nc1cc(Br)c(Br)c2c(Br)cccc12)c1ccccc1Cl', 'CCCCCCCCCCCCOc1cccc2c(OCCCCCCCCCC)cccc12', 'O=C(c1ccccc1Br)c1ccc2ccccc2c1C=CCl']",10,-0.0004001,10
C1CCCCC1,4,1.5444015444015444,14,11.965811965811966,0.0003716,0.0336151,0.0002747,"['CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'CC1(C)CC(=O)C(=NNc2ccccc2)C(=O)C1', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O', 'CC1(C)CC(=Cc2ccccc2)C(=O)C(=Cc2ccc(Br)cc2)C1']",6,0.0333404,10
c1ccc2c(c1)CNC2,4,1.5444015444015444,5,4.273504273504273,0.0003716,0.0,0.0004001,"['CNC(=O)C=CN1C(=O)c2ccccc2C1(C)O', 'Cc1ccc(S(=O)(=O)N2Cc3ccccc3C2c2ccccc2)cc1', 'CP1COCC1C(=O)N1C(=O)c2ccccc2C1CC1C(CCc2ccccc2)CCCC1O[Si](C)(C)C(C)(C)C', 'O=C(Nc1ccc(O)cc1)C(=O)ON1C(=O)c2ccccc2C1=O']",9,-0.0004001,10
C1CC1,4,1.5444015444015444,6,5.128205128205128,0.0003716,0.00123115,0.0003716,"['CCOc1ccccc1C1C(c2ccc(OC)cc2)C12C(=O)N(C(c1ccccc1)c1ccccc1)c1ccccc12', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1', 'CCOP(=O)(OCC)C(c1ccccc1)C1C(C(C)=O)C1c1ccccc1', 'Cc1ccc(C2CC23CC(=O)N2c4c(-c5ccccc5)nnn4C(=O)c4ccccc4N23)cc1']",3,0.0008595500000000002,10
C1CCOC1,3,1.1583011583011582,4,3.418803418803419,0.0003716,0.000153,0.00038585,"['O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1', 'C#CC1(COC(=O)C(C)(C)C)CC(C(CO)NC(C)(C)C)C(COC(=O)c2ccc([N+](=O)[O-])cc2)O1', 'N#CC1CCC(c2ccccc2)O1']",5,-0.00023284999999999997,10
c1ccc2c(c1)CCCC2,3,1.1583011583011582,4,3.418803418803419,0.0003716,0.0123465,0.00032315,"['CCC1(C(=O)OC)CCc2ccccc2C1(C)C#N', 'COC(=O)c1ccc(C=C2CCCc3ccc(OC)cc32)c(OC)c1', 'COc1cc(-c2ccccc2)c(OC)c2c1C1(CCCC(=O)C1)CCC2O']",10,0.01202335,10
c1ccc2cc3ccccc3cc2c1,2,0.7722007722007722,2,1.7094017094017095,0.0003716,0.0,0.0004001,"['Oc1ccc2cccc(CNCCNCc3c4ccccc4cc4ccccc34)c2c1', 'O=C(C=Cc1c2ccccc2cc2ccccc12)c1ccc(Cl)cc1']",14,-0.0004001,10
C1CNCN1,2,0.7722007722007722,2,1.7094017094017095,0.0003716,0.00123115,0.0003716,"['CCC(C)(B1OC(C2(c3ccccc3)N(Cc3ccccc3)CCN2c2ccccc2)=Cc2ccccc21)c1ccccc1', 'O=C1N(c2ccccc2)CCN1C1CC1Oc1ccc(F)cc1']",5,0.0008595500000000002,10
